RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,ASST PAY TOTAL,SCHOOL BUYOUT AS OF 4/1/19
1,LSU,SEC,Dave Aranda,"$2,500,000","$2,500,000","$150,000","$6,470,000",--
2,Clemson,ACC,Brent Venables,"$2,200,000","$2,201,500","$195,000","$6,825,000",--
3,Auburn,SEC,Kevin Steele,"$2,050,000","$2,050,500","$490,000","$6,555,600",--
4,Texas A&M,SEC,Mike Elko,"$1,800,000","$1,800,000","$280,000","$6,789,640",--
5,Texas,Big 12,Todd Orlando,"$1,710,000","$1,710,000","$95,000","$5,955,000",--
6,Oregon,Pac-12,Jim Leavitt,"$1,700,000","$1,700,000","$130,000","$5,345,000",--
7,Ohio State,Big Ten,Greg Schiano,"$1,500,000","$1,500,000","$573,750","$7,383,938",--
8,Georgia,SEC,Mel Tucker,"$1,500,000","$1,500,000","$234,000","$6,420,000",--
9,Michigan,Big Ten,Pep Hamilton,"$1,450,000","$1,450,000","$483,333","$5,875,000",--
10,Florida,SEC,Todd Grantham,"$1,401,500","$1,401,500","$560,000","$4,855,000",--
11,Michigan,Big Ten,Don Brown,"$1,300,000","$1,300,000","$166,667","$5,875,000",--
12,Tennessee,SEC,Tyson Helton,"$1,205,000","$1,205,000","$120,000","$5,675,000",--
13,Alabama,SEC,Mike Locksley,"$1,200,000","$1,200,000","$264,000","$6,123,723",--
14,Ohio State,Big Ten,Ryan Day,"$1,200,000","$1,200,000","$382,500","$7,383,938",--
15,South Carolina,SEC,Travaris Robinson,"$1,200,000","$1,200,000","$115,000","$5,050,000",--
16,Ohio State,Big Ten,Alex Grinch,"$1,158,938","$1,158,938","$306,000","$7,383,938",--
17,Auburn,SEC,Chip Lindsey,"$1,100,000","$1,100,500","$440,000","$6,555,600",--
18,Washington,Pac-12,Jimmy Lake,"$1,100,004","$1,100,004","$91,000","$5,465,040",--
19,Alabama,SEC,Tosh Lupoi,"$1,100,000","$1,100,000","$242,000","$6,123,723",--
20,Mississippi,SEC,Wesley McGriff,"$1,100,000","$1,100,000",$0,"$5,025,000",--
21,Florida State,ACC,Harlon Barnett,"$1,005,000","$1,005,000","$168,333","$5,715,000",--
22,Virginia Tech,ACC,Bud Foster,"$975,000","$975,000","$92,500","$3,685,000",--
23,Texas Christian,Big 12,Sonny Cumbie,"$963,416","$963,416",--,"$963,416",--
24,Louisville,ACC,Brian VanGorder,"$950,000","$950,000",$0,"$4,222,000",--
25,Georgia,SEC,Jim Chaney,"$950,000","$950,000","$234,000","$6,420,000",--
26,West Virginia,Big 12,Tony Gibson,"$901,000","$901,000","$245,000","$3,447,575",--
27,Missouri,SEC,Derek Dooley,"$900,000","$900,000","$267,000","$4,380,000",--
28,Washington,Pac-12,Pete Kwiatkowski,"$900,000","$900,000","$91,000","$5,465,040",--
29,Oklahoma,Big 12,Mike Stoops,"$900,000","$900,000","$154,000","$5,133,000",--
30,Florida State,ACC,David Kelly,"$883,000","$883,000","$148,000","$5,715,000",--
31,Clemson,ACC,Tony Elliott,"$875,000","$876,500","$95,000","$6,825,000",--
32,Clemson,ACC,Jeff Scott,"$850,000","$851,500","$95,000","$6,825,000",--
33,Kentucky,SEC,Eddie Gran,"$850,000","$851,200","$141,667","$4,356,000",--
34,Georgia,SEC,James Coley,"$850,000","$850,000","$225,000","$6,420,000",--
