RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2017-18),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 4/1/19
1,Alabama,SEC,Nick Saban,"$8,307,000","$8,307,000","$1,100,000","$500,000","$6,123,723","$33,600,000"
2,Ohio State,Big Ten,Urban Meyer,"$7,600,000","$7,600,000","$775,000","$350,000","$7,383,938","$38,058,402"
3,Michigan,Big Ten,Jim Harbaugh,"$7,504,000","$7,504,000","$1,325,000","$150,000","$5,875,000","$17,111,110"
4,Texas A&M,SEC,Jimbo Fisher,"$7,500,000","$7,500,000","$1,350,000",--,"$6,789,640","$68,125,000"
5,Auburn,SEC,Gus Malzahn,"$6,700,000","$6,705,656","$1,400,000","$375,000","$6,555,600","$32,143,750"
6,Georgia,SEC,Kirby Smart,"$6,603,600","$6,603,600","$1,150,000","$1,350,000","$6,420,000","$27,917,500"
7,Clemson,ACC,Dabo Swinney,"$6,205,000","$6,543,350","$1,125,000","$500,000","$6,825,000","$35,000,000"
8,Florida,SEC,Dan Mullen,"$6,070,000","$6,070,000","$925,000",--,"$4,855,000","$12,000,000"
9,Texas,Big 12,Tom Herman,"$5,500,000","$5,500,000","$725,000","$75,000","$5,955,000","$15,416,667"
10,Nebraska,Big Ten,Scott Frost,"$5,000,000","$5,000,000","$950,000",--,"$4,500,000","$25,416,667"
11,Oklahoma State,Big 12,Mike Gundy,"$5,000,000","$5,000,000","$900,000","$62,500","$4,150,000","$16,250,000"
12,Florida State,ACC,Willie Taggart,"$5,000,000","$5,000,000","$1,475,000",--,"$5,715,000","$21,958,333"
13,Illinois,Big Ten,Lovie Smith,"$5,000,000","$5,000,000","$1,000,000","$50,000","$3,614,150","$12,636,991"
14,Texas Christian,Big 12,Gary Patterson,"$4,840,717","$4,840,717",--,--,"$963,416",--
15,Penn State,Big Ten,James Franklin,"$4,800,000","$4,800,000","$1,000,000","$300,000","$603,643","$18,375,000"
16,Oklahoma,Big 12,Lincoln Riley,"$4,800,000","$4,800,000","$700,000","$180,000","$5,133,000","$20,833,333"
