Alabama,Southeastern Conference,3.90%,"$5,997,100","$153,234,273"
Alabama at Birmingham,Conference USA,64.50%,"$20,345,607","$31,549,517"
"Alabama State University
 Alabama",Southwestern Athletic Conference,76.40%,"$10,750,355","$14,070,309"
"Alcorn State University
 Mississippi",Southwestern Athletic Conference,84.10%,"$5,329,700","$6,340,123"
Appalachian State,Sun Belt Conference,53.00%,"$10,283,987","$19,414,754"
Arizona,Pacific-12 Conference,7.90%,"$7,901,134","$99,911,034"
Arizona State,Pacific-12 Conference,13.50%,"$10,073,205","$74,729,269"
Arkansas,Southeastern Conference,2.00%,"$1,936,405","$96,793,972"
Arkansas State,Sun Belt Conference,52.80%,"$10,642,341","$20,151,793"
Auburn,Southeastern Conference,3.90%,"$4,384,800","$113,716,004"
"Austin Peay State University
 Tennessee",Ohio Valley Conference,65.80%,"$7,954,748","$12,091,296"
Ball State,Mid-American Conference,74.30%,"$17,397,330","$23,424,359"
"Binghamton University
 New York",America East Conference,78.80%,"$12,269,494","$15,566,967"
Boise State,Mountain West Conference,25.80%,"$11,799,384","$45,706,336"
Bowling Green,Mid-American Conference,62.70%,"$14,722,441","$23,469,664"
California,Pacific-12 Conference,5.50%,"$4,982,173","$90,262,142"
"California State University at Fresno
 California",Mountain West Conference,36.40%,"$13,101,250","$36,038,183"
"California State University at Long Beach
 California",Big West Conference,63.60%,"$10,627,432","$16,703,611"
"Central Connecticut State University
 Connecticut",Northeast Conference,88.00%,"$12,959,383","$14,731,018"
Central Michigan,Mid-American Conference,73.80%,"$21,605,613","$29,281,777"
Cincinnati,American Athletic Conference,45.90%,"$27,118,373","$59,100,453"
Clemson,Atlantic Coast Conference,5.90%,"$4,375,745","$74,793,322"
"Cleveland State University
 Ohio",Horizon League,84.10%,"$9,627,983","$11,446,911"
"College of Charleston
 South Carolina",Colonial Athletic Association,75.40%,"$13,153,721","$17,440,104"
"College of William & Mary
 Virginia",Colonial Athletic Association,53.60%,"$12,691,327","$23,664,928"
Colorado,Pacific-12 Conference,19.00%,"$12,209,473","$64,226,758"
Colorado State,Mountain West Conference,51.70%,"$20,029,364","$38,739,665"
Connecticut,American Athletic Conference,38.00%,"$27,203,031","$71,519,433"
"Coppin State University
 Maryland",Mid-Eastern Athletic Conference,74.70%,"$2,467,870","$3,304,284"
East Carolina,American Athletic Conference,42.80%,"$15,680,447","$36,598,782"
"East Tennessee State University
 Tennessee",Southern Conference,82.30%,"$14,071,113","$17,088,793"
"Eastern Illinois University
 Illinois",Ohio Valley Conference,71.70%,"$9,524,251","$13,275,858"
"Eastern Kentucky University
 Kentucky",Ohio Valley Conference,80.00%,"$10,432,816","$13,033,265"
Eastern Michigan,Mid-American Conference,83.40%,"$25,083,708","$30,081,523"
"Eastern Washington University
 Washington",Big Sky Conference,71.20%,"$9,153,007","$12,858,386"
Florida,Southeastern Conference,3.50%,"$4,308,442","$124,611,305"
Florida Atlantic,Conference USA,67.20%,"$16,358,377","$24,352,818"
